Rk,Player,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MPG,PTS,TRB,AST,STL,BLK,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,LeBron James,38,Lakers,6,6,223,52,107,8,41,21,31,14,53,67,31,6,8,18,11,133,0.486,0.195,0.677,37.1,22.2,11.2,5.2,1,1.3,223,0.551,0.523,7,23.3,15.5,22.4,1.3,3.1,13,26.8,110,103,18.6
2,Anthony Davis,29,Lakers,6,6,218,49,100,3,9,24,29,18,64,82,12,8,26,14,15,125,0.49,0.333,0.828,36.4,20.8,13.7,2,1.3,4.3,218,0.554,0.505,9,27.4,19,8.8,1.8,10.4,11,24.9,110,94,19.8
3,D'Angelo Russell,26,Lakers,6,6,187,37,85,16,43,10,13,6,16,22,35,4,1,13,16,100,0.435,0.372,0.769,31.1,16.7,3.7,5.8,0.7,0.2,187,0.551,0.529,3.3,8.6,6,28.1,1,0.4,12.5,23.9,111,111,12.2
4,Austin Reaves,24,Lakers,6,6,219,34,76,11,32,20,24,9,23,32,30,4,3,11,15,99,0.447,0.344,0.833,36.4,16.5,5.3,5,0.7,0.5,219,0.572,0.52,4.5,9.9,7.3,19.6,0.9,1.2,11.3,19.2,119,110,13.5
5,Rui Hachimura,24,Lakers,6,0,153,33,58,11,21,10,12,2,26,28,4,3,1,3,8,87,0.569,0.524,0.833,25.5,14.5,4.7,0.7,0.5,0.2,153,0.687,0.664,1.6,16.5,9.5,4.5,1,0.5,4.5,18.6,133,108,11.4
6,Jarred Vanderbilt,23,Lakers,6,6,119,17,31,5,17,4,6,9,14,23,7,5,9,8,17,43,0.548,0.294,0.667,19.8,7.2,3.8,1.2,0.8,1.5,119,0.639,0.629,8.5,11.8,10.1,9,2.1,6.5,19.2,15.2,113,105,6.5
7,Dennis Schröder,29,Lakers,6,0,133,9,25,2,9,8,8,1,7,8,17,7,2,9,10,28,0.36,0.222,1,22.1,4.7,1.3,2.8,1.2,0.3,133,0.491,0.4,0.7,4.8,3,15.4,2.6,1.2,24,12.2,96,107,4
8,Malik Beasley,26,Lakers,6,0,66,7,24,5,19,6,6,3,3,6,2,0,0,2,5,25,0.292,0.263,1,11,4.2,1,0.3,0,0,66,0.469,0.396,5.2,3.9,4.6,3.8,0,0,7,18.8,100,115,1.9
9,Troy Brown Jr.,23,Lakers,6,0,88,5,16,1,11,0,0,2,16,18,7,2,1,0,2,11,0.313,0.091,,14.6,1.8,3,1.2,0.3,0.2,88,0.344,0.344,2.6,17.3,10.5,9.8,1.1,1,0,7.8,99,107,2.5
10,Wenyen Gabriel,25,Lakers,5,0,21,4,8,0,0,1,1,4,0,4,0,2,2,2,6,9,0.5,,1,4.1,1.8,0.8,0,0.4,0.4,21,0.533,0.5,20.6,0,9.2,0,4.7,8,19.2,21.9,100,96,1.4
11,Lonnie Walker IV,24,Lakers,4,0,15,3,7,2,5,0,0,0,1,1,1,0,0,0,0,8,0.429,0.4,,3.7,2,0.3,0.3,0,0,15,0.571,0.571,0,5.7,3.3,9.7,0,0,0,20.4,115,107,1.3
12,Max Christie,19,Lakers,4,0,12,2,4,1,2,0,0,0,3,3,1,0,1,0,0,5,0.5,0.5,,3,1.3,0.8,0.3,0,0.3,12,0.625,0.625,0,20.8,12.2,10.7,0,6.8,0,14.2,122,91,1.3
13,Mo Bamba,24,Lakers,3,0,10,0,2,0,1,0,0,0,3,3,1,0,1,0,0,0,0,0,,3.4,0,1,0.3,0,0.3,10,0,0,0,24.8,14.6,9.6,0,8.1,0,8.5,38,84,0.3
14,Shaquille Harrison,29,Lakers,3,0,3,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,,,1,0,0.3,0,0.3,0,3,0,0,0,30,15.3,0,16.3,0,0,14.2,0,76,0.2
15,Stephen Curry,34,Warriors,7,7,274,84,172,34,90,34,41,3,31,34,34,6,3,23,18,236,0.488,0.378,0.829,39.1,33.7,4.9,4.9,0.9,0.4,274,0.621,0.587,1.1,11.1,6.2,23.5,1,1,10.8,31.9,117,115,22.8
16,Klay Thompson,32,Warriors,7,7,251,51,120,26,73,16,18,0,27,27,15,4,1,16,15,144,0.425,0.356,0.889,35.8,20.6,3.9,2.1,0.6,0.1,251,0.563,0.533,0,10.6,5.5,8.7,0.7,0.4,11.1,23.5,104,116,11.6
17,Andrew Wiggins,27,Warriors,7,6,248,50,108,10,37,17,28,12,29,41,9,7,13,9,27,127,0.463,0.27,0.607,35.4,18.1,5.9,1.3,1,1.9,248,0.528,0.509,5,11.6,8.4,5.3,1.3,4.2,7,21.5,107,112,12.4
18,Jordan Poole,23,Warriors,7,4,160,26,77,9,35,23,30,3,14,17,21,9,3,7,13,84,0.338,0.257,0.767,22.8,12,2.4,3,1.3,0.4,160,0.466,0.396,1.8,8.7,5.4,18.1,2.6,1.6,7.2,25,102,112,8.2
19,Draymond Green,32,Warriors,6,3,191,19,44,3,11,16,22,7,30,37,48,12,5,13,25,57,0.432,0.273,0.727,31.9,9.5,6.2,8,2,0.8,191,0.531,0.466,4.2,15.8,10.2,32.7,2.9,2.1,19.5,14.6,117,110,11.9
20,Kevon Looney,26,Warriors,7,7,211,20,35,0,0,8,13,37,69,106,30,5,4,8,24,48,0.571,,0.615,30.1,6.9,15.1,4.3,0.7,0.6,211,0.589,0.571,17.3,32.6,25.3,17.6,1.1,1.5,16.4,9.5,139,107,12.5
21,Moses Moody,20,Warriors,6,0,65,12,20,5,11,7,7,2,7,9,3,3,2,1,8,36,0.6,0.455,1,10.9,6,1.5,0.5,0.5,0.3,65,0.78,0.725,3.9,10.6,7.2,7.3,2.1,2.8,4.2,14.9,153,108,5.4
22,Gary Payton II,30,Warriors,6,0,97,15,24,2,7,1,2,9,13,22,3,6,5,7,9,33,0.625,0.286,0.5,16.1,5.5,3.7,0.5,1,0.8,97,0.663,0.667,10.6,13.7,12.2,4.2,2.9,5,22,13.7,110,109,5.5
23,Donte DiVincenzo,26,Warriors,7,1,119,9,27,6,18,8,10,8,12,20,23,7,1,7,12,32,0.333,0.333,0.8,17,4.6,2.9,3.3,1,0.1,119,0.51,0.444,6.4,9.8,8.2,24.6,2.8,0.7,18.2,13.1,114,111,5.3
24,Jonathan Kuminga,20,Warriors,6,0,36,6,13,0,4,2,5,3,2,5,2,2,0,3,4,14,0.462,0,0.4,6,2.3,0.8,0.3,0.3,0,36,0.461,0.462,8.1,5.5,6.9,9.3,2.6,0,16.5,20.3,88,112,1.3
25,Patrick Baldwin Jr.,20,Warriors,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,2.5,0,1,0,0,0,3,,,0,35.3,17,0,0,0,,0,,95,0.3
26,JaMychal Green,32,Warriors,3,0,15,0,3,0,3,0,0,0,4,4,1,0,1,0,4,0,0,0,,4.9,0,1.3,0.3,0,0.3,15,0,0,0,24.6,12.1,8.1,0,7.2,0,8.1,23,99,-0.4
27,Anthony Lamb,25,Warriors,2,0,11,0,1,0,1,0,0,0,2,2,0,1,1,2,0,0,0,0,,5.4,0,1,0,0.5,0.5,11,0,0,0,18.1,9.3,0,4.2,9.8,66.7,11,0,91,-0.2
