Rk,G,Date,Age,Tm,HomeOrAway,Opp,Result,PointDiff,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-20,19-087,HOU,Away,MIN,L,-18,0,18:34,3,4,0.75,0,0,,5,5,1,3,3,6,2,3,0,3,4,11,12.2,-8
2,2,2021-10-22,19-089,HOU,Home,OKC,W,33,0,17:47,3,5,0.6,0,2,0,0,1,0,1,3,4,1,1,2,6,4,6,0.4,+14
3,3,2021-10-24,19-091,HOU,Home,BOS,L,-10,0,19:26,1,5,0.2,0,1,0,5,6,0.833,0,4,4,4,3,1,1,5,7,8.2,-3
4,4,2021-10-26,19-093,HOU,Away,DAL,L,-10,0,14:25,1,4,0.25,1,2,0.5,2,4,0.5,0,1,1,2,2,0,1,1,5,4.1,+4
5,5,2021-10-28,19-095,HOU,Home,UTA,L,-31,0,23:56,5,12,0.417,1,1,1,3,4,0.75,2,3,5,0,3,0,1,3,14,10.3,-8
6,6,2021-10-31,19-098,HOU,Away,LAL,L,-10,0,20:15,3,7,0.429,0,1,0,5,6,0.833,2,5,7,2,3,0,4,3,11,9,-3
7,7,2021-11-02,19-100,HOU,Away,LAL,L,-2,1,25:45:00,3,7,0.429,0,1,0,0,0,,2,2,4,4,1,0,5,4,6,1.5,-2
8,8,2021-11-04,19-102,HOU,Away,PHO,L,-12,1,22:33,4,10,0.4,1,2,0.5,1,2,0.5,1,3,4,5,1,0,2,5,10,6.3,-19
9,9,2021-11-06,19-104,HOU,Away,DEN,L,-1,0,13:53,3,4,0.75,1,1,1,2,2,1,0,4,4,3,0,1,0,4,9,9.8,+8
10,10,2021-11-07,19-105,HOU,Away,GSW,L,-13,0,16:26,3,4,0.75,1,1,1,5,12,0.417,1,4,5,1,0,1,3,1,12,7.5,-4
11,,2021-11-10,19-108,HOU,Home,DET,L,-8,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
